4,60,100,162634870,7,805119828
4,240,400,929524443,7,965671119
4,120,200,90946395,7,158523419
4,120,200,360792300,7,266923439
4,60,100,568855979,7,322326163
4,60,100,537040508,7,322326163
4,60,100,455361424,7,593527769
4,60,100,495183290,7,593527769
4,60,100,532671352,7,370955168
4,240,400,710926055,7,531246076
4,120,200,375921993,7,660527801
4,120,200,362951032,7,660527801
4,120,200,586491999,7,660527801
4,60,100,82001235,7,242220565
4,60,100,941721674,7,124968613
5,60,100,1012452623,8,161967769
3,120,200,163867937,6,665873699
3,120,200,763085602,6,1008767813
3,120,200,659031131,6,614567290
4,60,100,713657910,10,490234838
4,120,200,628658743,10,623510602
4,120,200,1003889783,10,623510602
4,120,200,1003889783,10,433639128
4,60,100,1031610935,10,83869650
4,60,100,500174446,10,83869650
4,60,100,285847609,10,83869650
4,60,100,505389697,10,84841321
4,60,100,881595995,10,991382873
4,60,100,558215231,10,4984569
4,60,100,104598520,10,843089429
4,60,100,850971618,10,1064557327
4,60,100,665064766,10,354528063
4,120,200,549741039,10,1009736048
4,120,200,771913640,10,126184647
4,60,100,1029604370,10,977731837
4,60,100,36798915,10,51463359
4,60,100,934550343,10,750357751
4,120,200,934550343,10,750357751
4,120,200,690441589,10,532786735
4,120,200,309350261,10,532786735
4,120,200,290924705,10,532786735
4,120,200,656483686,10,532786735
4,240,400,656483686,10,532786735
4,60,100,52938104,10,631044924
4,240,400,84105866,10,934341025
4,60,100,77685108,10,377710028
4,60,100,966347270,10,982999165
